routes,path_len,providers_per_rule,prefix_rules_per_origin,origin_diversity_pct,generated_prefix_rules,active_prefix_rules,distinct_origins,case,wall_us_mean,wall_us_ci95,total_ns_mean,total_ns_ci95,total_us_mean,total_us_ci95,calls_mean,calls_ci95,avg_ns_mean,avg_ns_ci95,rss_kb_mean,rss_kb_ci95,user_us_mean,user_us_ci95,sys_us_mean,sys_us_ci95,minflt_mean,minflt_ci95,majflt_mean,majflt_ci95,nvcsw_mean,nvcsw_ci95,nivcsw_mean,nivcsw_ci95,delta_total_ns_pct_vs_original,delta_wall_pct_vs_original,delta_total_pct_vs_original,delta_avg_ns_pct_vs_original,delta_rss_pct_vs_original,delta_user_pct_vs_original,delta_sys_pct_vs_original
1000000,4,10,6,1,60000,60000,10000,hybrid-hit,986196.9,9314.59,207672304.1,934123.06,207671.7,934.2,1000000.0,0.0,207.1,0.98,1948899.6,68.66,4078361.2,38377.7,1156831.4,37581.97,490107.0,1.51,0.0,0.0,0.0,0.0,42.3,20.75,36.07,11.23,36.07,35.98,4.39,7.97,3.90
1000000,4,10,6,1,60000,60000,10000,hybrid-miss,998528.7,23956.43,195593139.1,819876.9,195592.6,819.88,1000000.0,0.0,195.1,0.79,1948896.4,53.57,4037947.5,45455.49,1190223.0,42019.31,490107.3,1.12,0.0,0.0,0.0,0.0,61.4,25.35,28.16,12.62,28.16,28.10,4.39,6.90,6.90
1000000,4,10,6,1,60000,60000,10000,original-global,886609.1,12475.9,152619115.8,456069.59,152618.6,456.03,1000000.0,0.0,152.3,0.48,1866993.6,68.42,3777323.0,65656.34,1113432.6,51371.69,469333.3,0.59,0.0,0.0,0.0,0.0,52.9,15.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000,4,10,6,1,60000,60000,10000,linear-global,890015.1,18741.54,151042169.9,1545394.44,151041.6,1545.51,1000000.0,0.0,150.7,1.55,1871519.2,65.76,3824087.7,40715.7,1118075.5,48760.02,470433.0,1.07,0.0,0.0,0.0,0.0,53.9,18.6,-1.03,0.38,-1.03,-1.05,0.24,1.24,0.42
1000000,4,10,6,1,60000,60000,10000,linear-hit,960314.8,37591.49,208802340.1,3066552.86,208802.0,3066.62,1000000.0,0.0,208.2,3.11,1931698.8,82.35,4104346.6,119451.54,1148382.5,35404.02,485829.7,1.01,0.0,0.0,0.0,0.0,67.4,28.74,36.81,8.31,36.81,36.70,3.47,8.66,3.14
1000000,4,10,6,1,60000,60000,10000,linear-miss,937579.0,10429.41,195969123.9,1017196.4,195968.5,1017.21,1000000.0,0.0,195.5,1.03,1931715.2,93.12,3986667.4,72394.19,1171511.0,42368.8,485829.8,0.94,0.0,0.0,0.0,0.0,59.3,26.66,28.40,5.75,28.40,28.37,3.47,5.54,5.22
1000000,4,10,6,1,60000,60000,10000,trie-global,945503.1,18786.61,160063015.5,1536721.72,160062.4,1536.74,1000000.0,0.0,159.6,1.52,1888089.2,64.14,3881924.2,101114.03,1160162.1,50447.5,474583.4,0.77,0.0,0.0,0.1,0.23,23.5,15.53,4.88,6.64,4.88,4.79,1.13,2.77,4.20
1000000,4,10,6,1,60000,60000,10000,trie-hit,1096055.3,13106.63,302021996.9,1360549.29,302021.6,1360.5,1000000.0,0.0,301.4,1.36,2031848.4,47.52,4126162.7,57029.75,1243515.8,39775.69,510843.8,0.45,0.0,0.0,0.0,0.0,20.9,10.06,97.89,23.62,97.89,97.90,8.83,9.24,11.68
1000000,4,10,6,1,60000,60000,10000,trie-miss,1048418.8,15527.92,247547769.8,1097217.68,247547.3,1097.08,1000000.0,0.0,247.0,1.17,2031862.0,48.2,4065386.6,41019.15,1230255.6,30805.0,510843.9,1.14,0.0,0.0,0.0,0.0,23.4,13.72,62.20,18.25,62.20,62.18,8.83,7.63,10.49
1000000,4,10,6,2,120000,120000,20000,hybrid-global,952893.7,16665.95,159597710.4,1095157.22,159597.2,1095.14,1000000.0,0.0,159.1,1.09,1917452.4,50.78,3989210.5,59683.76,1158845.1,57143.73,482000.3,0.83,0.0,0.0,0.0,0.0,22.7,11.54,-2.10,5.71,-2.10,-2.09,1.62,3.35,1.99
